Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Freddie Gillespie,24.4,ORL,Big,118,1,40.9%,1,25%,90,54%,0,,91,54%,0,0%,0,,0,0%
Rudy Gobert,29.3,UTA,Big,2116,98,71.4%,90,77%,19,32%,8,0%,19,32%,0,,0,0%,0,0%
Brandon Goodwin,26.1,CLE,Point,472,36,48.6%,38,57%,20,31%,36,33%,22,31%,0,29%,89,40%,66,38%
Aaron Gordon,26.1,DEN,Forward,2373,87,57.5%,95,75%,19,31%,53,39%,27,34%,28,34%,46,34%,44,34%
Eric Gordon,32.9,HOU,Wing,1669,89,58.7%,65,66%,51,39%,26,29%,43,38%,88,48%,91,41%,89,41%
Devonte' Graham,26.7,NOP,Point,2147,40,48.6%,40,57%,20,31%,48,37%,32,34%,52,38%,51,34%,53,35%
Jerami Grant,27.6,DET,Big,1496,12,49.7%,23,62%,18,32%,63,40%,31,36%,50,34%,79,39%,72,37%
Hassani Gravett,25.3,ORL,Combo,170,98,63.5%,5,25%,99,80%,96,67%,99,75%,0,67%,67,37%,94,44%
Danny Green,34.4,PHI,Wing,1346,71,55.6%,28,58%,19,27%,67,43%,18,32%,59,41%,53,35%,69,38%
Draymond Green,31.7,GSW,Big,1328,49,56.5%,72,73%,71,48%,34,21%,64,44%,0,17%,69,37%,39,32%
JaMychal Green,31.4,DEN,Big,1048,33,54.0%,38,66%,47,41%,92,59%,77,47%,48,34%,12,25%,19,28%
Jalen Green,19.7,HOU,Combo,2116,56,51.1%,73,63%,10,22%,43,37%,15,30%,27,36%,52,34%,44,35%
Javonte Green,28.3,CHI,Forward,1506,96,59.8%,72,69%,32,36%,0,,32,36%,67,42%,9,26%,66,36%
Jeff Green,35.2,DEN,Big,1834,56,57.5%,86,76%,63,45%,42,29%,52,41%,27,31%,42,32%,34,31%
Josh Green,21.0,DAL,Wing,928,82,57.3%,84,72%,34,35%,50,38%,32,36%,63,42%,14,29%,63,38%
Blake Griffin,32.6,BKN,Big,936,6,48.3%,21,62%,74,49%,48,33%,74,46%,2,24%,8,25%,10,25%
Quentin Grimes,21.5,NYK,Wing,750,67,54.9%,51,64%,1,0%,82,47%,42,38%,83,46%,42,34%,58,37%
Kyle Guy,24.2,MIA,Combo,148,93,58.7%,67,63%,21,29%,96,67%,81,46%,0,50%,81,39%,87,42%
Rui Hachimura,23.7,WAS,Forward,917,83,56.5%,98,78%,49,40%,41,35%,35,37%,71,43%,99,45%,99,44%
Tyrese Haliburton,21.7,IND,Combo,937,95,60.4%,77,64%,97,59%,72,44%,95,53%,43,38%,99,45%,92,44%
Tyrese Haliburton,21.7,SAC,Combo,1750,82,55.3%,78,64%,51,41%,81,48%,67,44%,84,46%,93,42%,90,43%
R.J. Hampton,20.7,ORL,Combo,1325,25,45.7%,22,49%,25,32%,17,26%,19,31%,48,39%,64,36%,57,37%
Tim Hardaway Jr.,29.6,DAL,Wing,1234,28,49.6%,53,64%,52,39%,66,42%,61,41%,23,33%,47,35%,32,34%
James Harden,32.2,PHI,Point,787,38,48.6%,64,61%,26,32%,46,36%,26,33%,0,50%,36,32%,36,33%
James Harden,32.2,BKN,Point,1626,42,48.9%,16,54%,54,40%,84,46%,60,41%,3,29%,53,34%,43,34%
Maurice Harkless,28.5,SAC,Forward,863,73,54.7%,79,70%,85,50%,32,33%,80,47%,37,35%,5,24%,23,31%
Montrezl Harrell,27.8,WAS,Big,1089,91,65.5%,88,76%,68,46%,68,42%,69,45%,0,50%,0,22%,0,27%
