Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Ricky Rubio,31.0,CLE,Combo,964,15,43.9%,52,24%,62,22%,75,15%,69,37%,75,13%,26,27%,40,39%
D'Angelo Russell,25.7,MIN,Point,2076,56,50.5%,16,16%,38,19%,72,15%,50,33%,42,5%,78,46%,78,50%
Domantas Sabonis,25.5,IND,Big,1624,75,60.9%,71,63%,32,16%,53,4%,34,20%,43,2%,52,14%,46,17%
Domantas Sabonis,25.5,SAC,Big,504,49,56.4%,62,57%,71,26%,81,9%,79,36%,25,0%,39,7%,34,7%
Olivier Sarr,22.7,OKC,Big,400,89,64.7%,33,43%,72,27%,61,5%,69,32%,60,6%,62,19%,56,25%
Tomas Satoransky,30.0,NOP,Combo,457,2,30.7%,77,35%,76,27%,66,11%,75,39%,20,6%,17,21%,13,26%
Tomas Satoransky,30.0,WAS,Combo,412,63,51.9%,72,32%,79,28%,84,18%,90,46%,29,7%,9,16%,7,22%
Admiral Schofield,24.6,ORL,Forward,414,78,55.4%,32,25%,45,15%,9,1%,23,16%,82,23%,72,36%,79,59%
Dennis Schroder,28.1,HOU,Combo,404,26,46.4%,64,28%,32,15%,87,19%,60,34%,1,3%,58,35%,37,38%
Dennis Schroder,28.1,BOS,Point,1421,52,50.3%,54,27%,60,25%,86,19%,80,44%,36,4%,32,26%,26,30%
Alperen Sengun,19.3,HOU,Big,1442,18,51.3%,63,58%,59,22%,32,2%,41,24%,37,2%,60,17%,50,19%
Collin Sexton,22.8,CLE,Wing,314,28,49.7%,83,41%,89,25%,50,7%,75,33%,7,5%,18,21%,8,26%
Landry Shamet,24.6,PHX,Wing,1357,43,52.4%,14,13%,44,12%,53,8%,41,20%,65,21%,83,45%,80,67%
Day'Ron Sharpe,20.0,BKN,Big,304,48,56.2%,95,88%,11,10%,16,1%,9,11%,0,0%,21,1%,18,1%
Pascal Siakam,27.6,TOR,Forward,2574,49,52.6%,56,32%,99,37%,86,15%,96,52%,3,3%,14,13%,4,16%
Anfernee Simons,22.4,POR,Combo,1661,86,56.3%,25,17%,39,16%,74,14%,47,30%,16,5%,87,48%,77,53%
Zavier Simpson,24.7,OKC,Point,174,4,37.5%,84,35%,100,44%,20,6%,88,50%,0,0%,4,15%,4,15%
Jericho Sims,23.0,NYK,Big,510,99,76.1%,98,91%,2,7%,28,2%,3,9%,0,0%,0,0%,0,0%
Javonte Smart,22.4,MIL,Combo,142,4,34.2%,65,29%,16,12%,75,15%,41,27%,33,7%,62,37%,53,44%
Marcus Smart,27.7,BOS,Combo,2293,46,49.8%,46,23%,70,26%,12,4%,46,30%,72,12%,57,35%,61,47%
Ish Smith,33.3,CHA,Combo,448,14,43.8%,73,33%,90,31%,96,24%,98,55%,5,3%,3,9%,4,12%
Ish Smith,33.3,WAS,Point,597,34,48.5%,24,18%,56,23%,100,44%,98,67%,48,5%,2,9%,2,15%
Jalen Smith,21.6,PHX,Big,313,22,52.3%,38,44%,66,23%,77,8%,67,31%,56,5%,64,19%,54,24%
Jalen Smith,21.6,IND,Big,533,72,60.1%,24,39%,44,18%,68,6%,46,24%,82,12%,74,25%,79,37%
Dennis Smith Jr.,23.9,POR,Combo,556,19,44.2%,98,52%,67,25%,68,12%,67,36%,2,3%,4,9%,2,12%
Tony Snell,30.0,POR,Forward,521,30,50.0%,4,11%,19,11%,22,2%,15,13%,100,41%,69,36%,96,77%
Tony Snell,30.0,NOP,Wing,247,98,62.3%,15,13%,25,10%,0,0%,11,10%,99,36%,72,41%,94,77%
Cassius Stanley,22.2,DET,Wing,139,36,51.2%,81,41%,88,25%,21,2%,60,27%,57,18%,7,14%,17,32%
Lance Stephenson,31.2,IND,Combo,717,52,50.5%,80,36%,18,13%,98,27%,80,40%,9,4%,16,21%,10,25%
Lamar Stevens,24.3,CLE,Wing,956,40,51.8%,94,48%,79,23%,72,11%,79,34%,34,11%,3,7%,3,18%
Isaiah Stewart,20.4,DET,Big,1806,24,52.5%,82,72%,25,14%,61,5%,31,19%,28,1%,43,8%,36,9%
Max Strus,25.6,MIA,Wing,1524,96,61.2%,30,17%,7,4%,17,2%,3,6%,67,22%,93,55%,94,77%
Jalen Suggs,20.4,ORL,Combo,1276,9,39.9%,88,39%,52,19%,48,9%,44,28%,10,4%,34,28%,21,32%
Keifer Sykes,27.8,IND,Point,524,18,44.6%,32,21%,14,12%,90,21%,48,33%,92,14%,52,32%,68,46%
Jae'Sean Tate,26.0,HOU,Forward,2047,64,54.2%,94,55%,79,19%,7,1%,45,20%,27,11%,16,15%,14,25%
Jayson Tatum,23.7,BOS,Forward,2726,50,52.7%,53,31%,74,18%,80,13%,79,31%,6,5%,63,33%,40,38%
Terry Taylor,22.1,IND,Forward,669,99,64.6%,100,64%,76,19%,16,2%,46,20%,28,11%,1,5%,3,16%
Garrett Temple,35.5,NOP,Wing,1072,13,46.7%,42,23%,28,11%,48,7%,34,18%,90,29%,45,30%,69,60%
Daniel Theis,29.6,BOS,Big,375,86,64.2%,50,50%,51,20%,72,7%,55,27%,71,9%,52,14%,52,23%
Daniel Theis,29.6,HOU,Big,576,29,53.4%,25,40%,12,11%,76,8%,27,19%,72,10%,89,32%,85,41%
Cameron Thomas,20.1,BKN,Wing,1069,30,50.2%,27,16%,90,26%,99,25%,99,51%,14,7%,33,26%,21,33%
Isaiah Thomas,32.7,CHA,Combo,189,85,56.3%,30,18%,73,26%,37,8%,61,34%,79,14%,55,34%,65,48%
Matt Thomas,27.2,CHI,Wing,383,79,56.1%,0,1%,6,4%,98,24%,61,27%,63,21%,91,51%,87,72%
Klay Thompson,31.7,GSW,Wing,934,50,53.0%,8,10%,70,19%,94,20%,91,40%,24,9%,73,41%,54,50%
Tristan Thompson,30.6,CHI,Big,371,55,57.3%,75,67%,85,31%,31,2%,74,33%,0,0%,0,0%,0,0%
Tristan Thompson,30.6,SAC,Big,452,14,51.0%,70,62%,96,37%,13,1%,84,38%,0,0%,20,1%,17,1%
JT Thor,19.2,CHA,Forward,190,30,50.0%,80,41%,10,8%,49,5%,16,13%,15,8%,78,38%,56,46%
Matisse Thybulle,24.7,PHI,Wing,1669,83,57.5%,90,46%,19,8%,4,0%,9,9%,78,24%,17,21%,41,45%
Killian Tillie,23.7,MEM,Forward,355,51,52.7%,15,17%,41,14%,0,0%,20,14%,84,24%,88,45%,91,68%
Xavier Tillman,22.8,MEM,Big,564,5,47.6%,57,52%,81,30%,19,1%,65,31%,51,4%,49,13%,46,17%
Obi Toppin,23.7,NYK,Big,1190,64,58.5%,64,58%,3,7%,34,2%,6,10%,93,17%,55,16%,73,33%
Juan Toscano-Anderson,28.6,GSW,Forward,866,59,53.4%,93,51%,72,18%,14,1%,41,20%,15,8%,32,22%,22,29%
Karl-Anthony Towns,26.0,MIN,Big,2482,69,59.0%,35,44%,62,22%,75,7%,59,29%,44,3%,71,25%,61,27%
Gary Trent Jr.,22.8,TOR,Combo,2441,57,51.2%,15,13%,44,17%,92,21%,76,39%,54,10%,67,38%,66,48%
PJ Tucker,36.5,MIA,Big,1978,59,57.7%,9,26%,74,27%,41,3%,60,30%,99,39%,32,5%,90,44%
Myles Turner,25.6,IND,Big,1232,65,58.5%,17,33%,55,21%,46,3%,45,24%,66,8%,93,35%,89,43%
Jonas Valanciunas,29.5,NOP,Big,2236,58,57.6%,34,43%,92,35%,72,7%,90,42%,22,0%,54,15%,44,15%
Denzel Valentine,28.0,CLE,Wing,164,50,53.0%,6,8%,38,12%,39,6%,36,18%,94,32%,76,42%,92,74%
Fred VanVleet,27.7,TOR,Point,2457,70,51.7%,14,14%,28,15%,78,16%,38,30%,72,9%,82,47%,82,56%
Jarred Vanderbilt,22.6,MIN,Big,1869,69,58.9%,89,81%,32,16%,8,0%,19,16%,44,3%,21,1%,25,4%
Devin Vassell,21.2,SAS,Wing,1896,42,52.2%,31,17%,74,21%,85,14%,83,36%,50,16%,48,31%,48,47%
Gabe Vincent,25.4,MIA,Combo,1499,71,53.4%,31,18%,11,10%,64,11%,19,21%,83,17%,80,44%,86,61%
Nikola Vucevic,31.0,CHI,Big,2415,21,52.0%,13,28%,81,29%,92,15%,92,44%,38,2%,76,26%,63,28%
Dean Wade,24.9,CLE,Forward,950,76,55.2%,27,24%,13,9%,35,3%,11,12%,64,18%,90,46%,85,64%
Franz Wagner,20.2,ORL,Forward,2416,40,51.8%,82,43%,90,29%,31,3%,80,31%,13,6%,24,20%,15,26%
Moritz Wagner,24.5,ORL,Big,874,62,58.1%,37,44%,6,9%,14,1%,5,9%,59,6%,96,41%,91,47%
Ishmail Wainright,27.1,PHX,Big,245,8,48.7%,15,30%,22,13%,0,0%,12,13%,98,30%,79,26%,95,57%
Kemba Walker,31.5,NYK,Point,947,54,50.3%,30,20%,26,15%,66,14%,32,29%,14,2%,88,49%,80,51%
Lonnie Walker,22.9,SAS,Wing,1596,24,48.5%,51,26%,39,12%,93,19%,72,32%,26,9%,52,33%,37,42%
Derrick Walton Jr.,26.6,DET,Point,108,0,28.8%,38,21%,22,14%,84,18%,42,32%,30,4%,72,43%,70,46%
Brad Wanamaker,32.3,IND,Combo,249,12,42.9%,91,40%,46,18%,90,21%,77,39%,11,4%,12,16%,6,21%
Duane Washington,21.6,IND,Combo,920,43,49.6%,59,27%,43,17%,38,8%,33,25%,84,17%,41,30%,63,48%
PJ Washington,23.2,CHA,Big,1716,58,57.7%,21,36%,12,11%,12,1%,8,11%,87,14%,95,38%,94,52%
Yuta Watanabe,27.1,TOR,Wing,390,17,47.3%,57,28%,41,12%,38,6%,37,18%,85,27%,37,27%,61,54%
Lindy Waters,24.3,OKC,Wing,454,79,56.1%,5,8%,16,7%,9,1%,8,8%,76,23%,97,60%,97,84%
Trendon Watford,21.0,POR,Big,780,42,55.2%,59,53%,87,32%,49,3%,77,36%,51,4%,42,8%,41,12%
Paul Watson,26.8,OKC,Forward,140,2,37.5%,7,13%,50,16%,0,0%,24,16%,99,41%,60,31%,95,72%
Russell Westbrook,33.0,LAL,Point,2667,32,47.8%,96,48%,36,18%,76,15%,44,33%,32,4%,6,16%,8,19%
Coby White,21.7,CHI,Combo,1636,76,54.4%,51,24%,27,15%,47,9%,25,23%,68,12%,71,41%,75,52%
Derrick White,27.3,BOS,Combo,709,35,48.5%,45,23%,84,29%,25,6%,62,34%,61,11%,49,32%,50,43%
Derrick White,27.3,SAS,Combo,1485,47,49.9%,58,26%,69,25%,33,7%,55,32%,42,8%,51,33%,48,41%
Hassan Whiteside,32.4,UTA,Big,1125,90,65.4%,79,70%,77,28%,26,2%,60,30%,0,0%,0,0%,0,0%
Joe Wieskamp,22.2,SAS,Wing,141,2,35.5%,17,14%,2,3%,70,11%,21,14%,81,25%,84,47%,89,72%
Aaron Wiggins,22.8,OKC,Wing,1193,46,52.7%,79,38%,84,24%,6,1%,54,25%,45,15%,24,23%,30,38%
Andrew Wiggins,26.7,GSW,Forward,2318,65,54.3%,36,26%,85,24%,84,14%,85,38%,24,10%,45,25%,32,36%
Lindell Wigginton,23.6,MIL,Combo,156,20,44.8%,83,36%,56,21%,10,3%,30,24%,59,10%,38,29%,42,40%
Brandon Williams,21.9,POR,Point,603,12,42.8%,88,36%,40,19%,52,12%,40,31%,66,8%,28,25%,34,33%
Grant Williams,22.9,BOS,Forward,1842,95,59.8%,38,27%,44,15%,20,2%,30,17%,94,29%,47,27%,72,56%
Kenrich Williams,26.9,OKC,Forward,1069,54,53.2%,69,36%,73,18%,71,11%,76,29%,46,13%,33,22%,31,35%
Lou Williams,35.0,ATL,Combo,790,22,45.0%,18,14%,92,33%,95,23%,99,56%,73,12%,14,18%,17,30%
Patrick Williams,20.2,CHI,Big,408,77,61.6%,21,36%,38,17%,97,20%,80,37%,80,11%,57,16%,61,27%
Robert Williams,24.0,BOS,Big,1803,99,73.7%,95,86%,20,12%,28,2%,15,14%,0,0%,18,0%,15,0%
Ziaire Williams,20.1,MEM,Wing,1299,64,54.6%,40,22%,52,14%,58,8%,46,23%,88,29%,35,27%,65,56%
Dylan Windler,25.1,CLE,Wing,395,31,50.6%,59,28%,15,7%,0,0%,5,7%,94,33%,51,32%,76,65%
Justise Winslow,25.6,POR,Forward,293,12,44.7%,79,40%,64,17%,77,11%,74,29%,26,11%,28,20%,26,31%
Justise Winslow,25.6,LAC,Big,425,14,50.8%,46,48%,79,28%,71,7%,75,35%,72,9%,39,7%,47,17%
Christian Wood,26.1,HOU,Big,2092,56,57.4%,26,41%,47,20%,62,5%,48,25%,55,4%,85,30%,75,34%
Delon Wright,29.5,ATL,Combo,1393,78,54.9%,81,36%,54,20%,20,5%,34,25%,53,10%,37,29%,39,39%
Thaddeus Young,33.4,SAS,Big,355,51,56.6%,65,58%,94,36%,46,3%,86,39%,28,1%,25,2%,22,2%
Thaddeus Young,33.4,TOR,Forward,466,43,51.8%,87,48%,82,22%,30,3%,61,25%,71,19%,5,8%,19,27%
Trae Young,23.1,ATL,Point,2647,84,54.2%,40,22%,66,26%,80,16%,78,42%,2,2%,58,34%,48,36%
Omer Yurtseven,23.4,MIA,Big,624,27,53.3%,61,56%,93,36%,56,5%,89,40%,30,1%,30,3%,26,4%
Cody Zeller,29.1,POR,Big,335,53,57.0%,86,78%,43,18%,17,1%,30,19%,32,1%,26,2%,24,3%
Ivica Zubac,24.6,LAC,Big,1843,79,62.5%,77,68%,82,30%,22,1%,68,32%,0,0%,0,0%,0,0%
