Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Jordan Poole,22.4,GSW,Combo,2232,80,55.1%,83,54.5%,57,36.7%,99,92.2%,51,55%,47,44%,36,40%,73,70%
Kevin Porter,21.5,HOU,Point,1905,68,51.4%,36,45.6%,70,37.8%,3,64.2%,60,38%,48,32%,68,16%,76,52%
Michael Porter,23.3,DEN,Wing,264,5,41.2%,39,49.1%,2,20.8%,0,55.6%,42,76%,58,57%,14,85%,60,90%
Otto Porter,28.4,GSW,Forward,1373,82,56.2%,66,56.5%,73,37.1%,55,80.3%,20,82%,51,62%,11,88%,49,95%
Bobby Portis,26.7,MIL,Big,2019,45,55.6%,23,53.2%,86,39.6%,60,75.2%,65,70%,92,50%,71,61%,24,100%
Kristaps Porzingis,26.3,WAS,Big,478,28,53.3%,17,52.2%,75,37.2%,100,87.7%,61,71%,51,68%,73,59%,75,97%
Kristaps Porzingis,26.3,DAL,Big,1001,12,50.1%,27,53.9%,20,28.2%,95,86.5%,35,77%,44,69%,51,74%,24,100%
Dwight Powell,30.3,DAL,Big,1793,96,68.9%,96,70.3%,64,36.1%,77,78.7%,8,86%,7,85%,12,94%,24,100%
Norman Powell,28.4,POR,Wing,1331,63,54.6%,41,49.4%,87,41.0%,48,80.3%,70,66%,70,50%,56,53%,50,91%
Norman Powell,28.4,LAC,Wing,120,94,60.5%,25,47.4%,100,54.2%,89,87.5%,87,52%,83,45%,78,43%,96,62%
Joshua Primo,18.9,SAS,Forward,910,13,45.2%,11,44.8%,21,30.4%,29,71.7%,65,70%,86,47%,43,64%,50,95%
Taurean Prince,27.6,MIN,Forward,1172,84,56.6%,70,56.9%,77,37.6%,42,75.6%,22,81%,14,76%,54,59%,54,94%
Payton Pritchard,23.8,BOS,Point,881,100,58.0%,58,47.9%,96,41.4%,0,100.0%,2,70%,18,41%,8,36%,18,86%
Immanuel Quickley,22.4,NYK,Combo,1757,39,48.9%,39,44.6%,48,34.8%,90,88.4%,76,42%,75,27%,50,33%,95,53%
Julius Randle,26.9,NYK,Big,2537,3,46.0%,5,45.8%,29,30.8%,62,75.4%,98,47%,98,45%,97,26%,95,80%
Austin Reaves,23.4,LAL,Wing,1360,70,55.3%,94,61.4%,29,33.3%,66,84.1%,49,74%,35,66%,59,52%,25,98%
Cameron Reddish,22.2,NYK,Forward,198,18,46.7%,77,57.6%,3,22.2%,0,92.0%,53,72%,89,44%,19,80%,0,100%
Cameron Reddish,22.2,ATL,Forward,780,21,48.1%,5,41.9%,74,37.2%,95,90.0%,79,63%,70,57%,85,38%,85,84%
Davon Reed,26.4,DEN,Forward,608,98,62.2%,77,57.6%,98,43.6%,0,54.5%,40,76%,49,63%,55,59%,52,94%
Paul Reed,22.4,PHI,Big,237,63,58.2%,74,61.9%,0,0.0%,0,41.7%,91,59%,85,56%,1,100%,0,
Naz Reid,22.2,MIN,Big,1144,35,54.3%,38,55.5%,58,34.6%,68,77.3%,54,73%,64,64%,69,62%,24,100%
Nick Richards,23.9,CHA,Big,278,94,68.2%,93,68.2%,0,,76,78.6%,30,78%,16,78%,36,80%,0,
Josh Richardson,28.1,BOS,Combo,1065,68,53.0%,47,47.5%,77,39.9%,81,85.9%,23,67%,25,53%,33,41%,17,98%
Josh Richardson,28.1,SAS,Combo,512,74,53.7%,22,41.6%,97,44.9%,100,94.6%,14,77%,66,33%,14,63%,0,100%
Austin Rivers,29.3,DEN,Wing,1427,60,54.2%,83,56.3%,41,35.3%,22,72.7%,62,68%,81,47%,74,44%,74,86%
Duncan Robinson,27.5,MIA,Wing,2015,73,55.8%,86,57.4%,58,36.9%,62,83.6%,4,93%,2,90%,34,68%,33,96%
Justin Robinson,24.1,MIL,Point,156,14,42.9%,38,46.2%,4,26.7%,0,,22,50%,6,50%,94,0%,64,63%
Mitchell Robinson,23.6,NYK,Big,1847,100,76.1%,100,76.1%,0,,3,48.6%,96,52%,90,52%,98,20%,0,
Jeremiah Robinson-Earl,21.0,OKC,Big,1068,11,49.7%,8,47.8%,56,34.4%,56,74.1%,10,85%,28,73%,39,79%,24,100%
Isaiah Roby,23.7,OKC,Big,908,70,59.0%,31,54.5%,98,46.2%,27,66.7%,51,74%,66,63%,36,80%,88,91%
Rajon Rondo,35.7,LAL,Point,270,6,38.8%,4,35.0%,11,27.6%,0,50.0%,48,41%,96,0%,34,25%,0,100%
Rajon Rondo,35.7,CLE,Combo,407,51,50.5%,42,45.8%,74,39.7%,0,75.0%,71,44%,96,6%,89,17%,56,78%
Derrick Rose,33.1,NYK,Point,629,66,51.3%,48,46.9%,87,40.0%,100,96.8%,50,41%,70,24%,24,28%,38,75%
Terrence Ross,30.7,ORL,Wing,1447,15,47.3%,40,49.3%,15,30.0%,80,85.8%,76,61%,59,57%,61,50%,86,78%
Terry Rozier,27.6,CHA,Combo,2437,75,53.9%,70,51.6%,64,37.7%,76,85.7%,35,61%,42,45%,28,43%,42,84%
Ricky Rubio,31.0,CLE,Combo,964,15,43.9%,13,38.0%,45,34.5%,72,85.4%,75,42%,72,32%,82,20%,76,67%
D'Angelo Russell,25.7,MIN,Point,2076,56,50.5%,66,49.2%,49,34.2%,50,82.5%,44,43%,26,37%,52,22%,62,63%
Domantas Sabonis,25.5,IND,Big,1624,75,60.9%,80,63.8%,40,32.1%,53,73.8%,78,66%,64,64%,83,53%,24,100%
Domantas Sabonis,25.5,SAC,Big,504,49,56.4%,55,58.4%,6,23.5%,56,74.3%,90,61%,49,68%,92,44%,96,75%
Olivier Sarr,22.7,OKC,Big,400,89,64.7%,82,64.2%,96,44.0%,95,85.2%,16,81%,76,58%,1,100%,24,100%
Tomas Satoransky,30.0,NOP,Combo,457,2,30.7%,6,32.4%,2,17.9%,0,73.9%,42,59%,11,64%,71,25%,0,100%
Tomas Satoransky,30.0,WAS,Combo,412,63,51.9%,81,54.1%,15,30.0%,0,84.0%,61,49%,66,33%,25,47%,0,100%
Admiral Schofield,24.6,ORL,Forward,414,78,55.4%,72,57.1%,71,36.2%,0,83.3%,12,88%,4,86%,35,70%,41,96%
Dennis Schroder,28.1,HOU,Combo,404,26,46.4%,32,43.9%,38,33.3%,87,87.2%,93,33%,95,15%,97,13%,75,68%
Dennis Schroder,28.1,BOS,Point,1421,52,50.3%,60,48.5%,57,35.3%,58,84.5%,52,40%,34,34%,46,23%,44,73%
Alperen Sengun,19.3,HOU,Big,1442,18,51.3%,29,54.1%,18,27.4%,42,71.2%,97,50%,96,47%,95,31%,75,97%
Collin Sexton,22.8,CLE,Wing,314,28,49.7%,72,54.3%,8,25.6%,24,74.4%,90,49%,70,50%,92,26%,80,82%
Landry Shamet,24.6,PHX,Wing,1357,43,52.4%,16,44.4%,61,37.7%,56,82.9%,31,82%,61,56%,43,62%,42,95%
Day'Ron Sharpe,20.0,BKN,Big,304,48,56.2%,45,56.7%,0,0.0%,23,65.4%,85,63%,65,63%,86,50%,0,
Pascal Siakam,27.6,TOR,Forward,2574,49,52.6%,53,52.6%,55,34.9%,40,74.9%,97,37%,93,41%,98,20%,51,95%
Anfernee Simons,22.4,POR,Combo,1661,86,56.3%,53,48.7%,85,41.3%,91,88.7%,73,43%,79,25%,89,17%,83,65%
Zavier Simpson,24.7,OKC,Point,174,4,37.5%,10,40.9%,0,12.5%,0,100.0%,82,26%,90,11%,14,33%,0,100%
Jericho Sims,23.0,NYK,Big,510,99,76.1%,99,76.1%,0,,1,40.7%,35,77%,18,76%,1,100%,0,
Javonte Smart,22.4,MIL,Combo,142,4,34.2%,7,35.0%,5,22.2%,0,83.3%,30,64%,89,20%,1,100%,0,100%
Marcus Smart,27.7,BOS,Combo,2293,46,49.8%,67,50.7%,38,33.3%,41,80.2%,44,58%,61,39%,49,34%,28,92%
Ish Smith,33.3,CHA,Combo,448,14,43.8%,16,39.9%,99,47.6%,0,58.8%,90,33%,82,24%,70,26%,51,80%
Ish Smith,33.3,WAS,Point,597,34,48.5%,46,46.7%,66,37.1%,0,60.0%,90,20%,94,10%,72,14%,50,69%
Jalen Smith,21.6,PHX,Big,313,22,52.3%,46,57.0%,14,26.7%,68,77.3%,58,72%,85,56%,28,83%,24,100%
Jalen Smith,21.6,IND,Big,533,72,60.1%,77,62.8%,77,37.3%,67,77.1%,18,81%,44,68%,21,88%,24,100%
Dennis Smith Jr.,23.9,POR,Combo,556,19,44.2%,43,46.2%,3,20.0%,9,66.7%,88,35%,60,39%,75,24%,96,50%
Tony Snell,30.0,POR,Forward,521,30,50.0%,48,52.4%,32,32.4%,0,100.0%,10,89%,59,60%,15,83%,43,96%
Tony Snell,30.0,NOP,Wing,247,98,62.3%,85,57.1%,94,42.6%,0,,12,89%,26,71%,2,100%,40,95%
Cassius Stanley,22.2,DET,Wing,139,36,51.2%,82,55.6%,0,28.6%,0,100.0%,61,68%,61,56%,36,67%,1,100%
Lance Stephenson,31.2,IND,Combo,717,52,50.5%,71,51.8%,29,31.8%,38,79.7%,99,26%,88,20%,93,15%,86,59%
Lamar Stevens,24.3,CLE,Wing,956,40,51.8%,70,54.1%,10,28.1%,13,70.4%,72,65%,34,67%,70,47%,1,100%
Isaiah Stewart,20.4,DET,Big,1806,24,52.5%,20,52.8%,44,32.6%,47,72.3%,64,70%,61,65%,19,89%,82,93%
Max Strus,25.6,MIA,Wing,1524,96,61.2%,78,54.8%,92,41.9%,38,78.8%,10,90%,11,81%,54,55%,38,95%
Jalen Suggs,20.4,ORL,Combo,1276,9,39.9%,31,43.8%,4,21.6%,24,76.7%,72,44%,55,40%,50,33%,82,66%
Keifer Sykes,27.8,IND,Point,524,18,44.6%,16,41.5%,28,32.1%,0,87.5%,8,62%,4,54%,30,27%,16,88%
Jae'Sean Tate,26.0,HOU,Forward,2047,64,54.2%,67,56.8%,28,31.7%,27,70.7%,87,57%,78,52%,89,35%,60,94%
Jayson Tatum,23.7,BOS,Forward,2726,50,52.7%,49,52.4%,60,35.5%,77,85.1%,94,47%,88,46%,84,39%,98,57%
Terry Taylor,22.1,IND,Forward,669,99,64.6%,99,67.6%,38,33.3%,34,73.3%,68,69%,46,63%,27,77%,67,92%
Garrett Temple,35.5,NOP,Wing,1072,13,46.7%,23,47.2%,18,30.9%,6,68.3%,34,81%,60,57%,21,79%,23,98%
Daniel Theis,29.6,BOS,Big,375,86,64.2%,91,67.1%,72,37.0%,30,68.8%,15,83%,21,76%,14,94%,89,90%
Daniel Theis,29.6,HOU,Big,576,29,53.4%,64,60.6%,24,29.5%,50,73.0%,14,83%,19,76%,40,79%,24,100%
Cameron Thomas,20.1,BKN,Wing,1069,30,50.2%,64,53.4%,12,29.5%,61,83.5%,91,48%,70,50%,80,40%,93,70%
Isaiah Thomas,32.7,CHA,Combo,189,85,56.3%,51,48.1%,91,43.1%,0,90.0%,29,64%,43,44%,17,56%,60,77%
Matt Thomas,27.2,CHI,Wing,383,79,56.1%,16,44.4%,83,40.3%,0,85.7%,2,95%,0,100%,2,100%,48,93%
Klay Thompson,31.7,GSW,Wing,934,50,53.0%,26,47.7%,72,38.5%,100,91.8%,45,75%,10,81%,50,57%,62,89%
Tristan Thompson,30.6,CHI,Big,371,55,57.3%,49,57.3%,0,,8,54.2%,80,65%,68,63%,58,68%,0,
Tristan Thompson,30.6,SAC,Big,452,14,51.0%,13,50.3%,0,100.0%,7,53.3%,81,64%,82,56%,43,78%,24,100%
JT Thor,19.2,CHA,Forward,190,30,50.0%,96,66.7%,3,22.2%,0,45.5%,3,94%,2,90%,2,100%,0,100%
Matisse Thybulle,24.7,PHI,Wing,1669,83,57.5%,100,66.9%,21,31.4%,51,80.5%,35,81%,18,76%,61,50%,38,95%
Killian Tillie,23.7,MEM,Forward,355,51,52.7%,7,42.9%,80,38.1%,0,50.0%,17,83%,81,50%,30,75%,43,96%
Xavier Tillman,22.8,MEM,Big,564,5,47.6%,22,53.0%,2,16.1%,21,63.8%,61,71%,65,63%,36,80%,24,100%
Obi Toppin,23.7,NYK,Big,1190,64,58.5%,86,65.2%,30,30.9%,64,75.7%,9,85%,11,82%,40,79%,24,100%
Juan Toscano-Anderson,28.6,GSW,Forward,866,59,53.4%,81,58.8%,18,27.4%,2,54.8%,43,76%,20,72%,29,76%,77,88%
Karl-Anthony Towns,26.0,MIN,Big,2482,69,59.0%,53,58.0%,89,40.8%,87,82.2%,87,62%,83,56%,85,50%,91,89%
Gary Trent Jr.,22.8,TOR,Combo,2441,57,51.2%,37,44.5%,68,38.5%,65,84.8%,46,58%,23,56%,44,36%,62,76%
PJ Tucker,36.5,MIA,Big,1978,59,57.7%,28,54.0%,90,41.5%,53,73.8%,4,88%,24,75%,18,89%,68,99%
Myles Turner,25.6,IND,Big,1232,65,58.5%,88,66.2%,47,33.2%,62,75.2%,28,78%,48,68%,56,69%,24,100%
Jonas Valanciunas,29.5,NOP,Big,2236,58,57.6%,55,58.2%,67,36.3%,86,82.0%,77,67%,85,56%,55,71%,71,98%
Denzel Valentine,28.0,CLE,Wing,164,50,53.0%,2,30.8%,84,40.5%,0,,39,79%,92,33%,2,100%,72,87%
Fred VanVleet,27.7,TOR,Point,2457,70,51.7%,26,44.2%,79,38.3%,83,87.4%,46,43%,74,23%,50,22%,68,59%
Jarred Vanderbilt,22.6,MIN,Big,1869,69,58.9%,63,60.5%,0,14.3%,24,65.6%,66,70%,39,70%,74,59%,24,100%
Devin Vassell,21.2,SAS,Wing,1896,42,52.2%,45,49.7%,52,36.3%,63,83.7%,37,80%,36,66%,34,68%,27,98%
Gabe Vincent,25.4,MIA,Combo,1499,71,53.4%,56,49.2%,62,37.3%,47,81.5%,28,64%,30,50%,47,34%,50,81%
Nikola Vucevic,31.0,CHI,Big,2415,21,52.0%,25,53.7%,36,31.7%,66,76.0%,39,77%,72,61%,35,81%,24,100%
Dean Wade,24.9,CLE,Forward,950,76,55.2%,93,62.9%,47,34.1%,13,66.7%,31,79%,32,69%,90,33%,31,98%
Franz Wagner,20.2,ORL,Forward,2416,40,51.8%,34,51.0%,64,35.8%,84,86.3%,85,59%,57,60%,82,39%,86,83%
Moritz Wagner,24.5,ORL,Big,874,62,58.1%,92,67.2%,45,33.0%,82,79.8%,11,85%,11,81%,80,55%,70,98%
Ishmail Wainright,27.1,PHX,Big,245,8,48.7%,10,48.5%,43,32.6%,0,50.0%,39,77%,88,53%,1,100%,24,100%
Kemba Walker,31.5,NYK,Point,947,54,50.3%,28,44.4%,64,36.9%,58,84.5%,64,36%,76,20%,54,22%,78,51%
Lonnie Walker,22.9,SAS,Wing,1596,24,48.5%,37,48.8%,25,32.1%,35,78.4%,72,65%,47,63%,72,45%,75,85%
Derrick Walton Jr.,26.6,DET,Point,108,0,28.8%,0,23.1%,0,23.1%,0,100.0%,22,50%,96,0%,94,0%,0,100%
Brad Wanamaker,32.3,IND,Combo,249,12,42.9%,25,42.9%,0,28.6%,0,88.2%,56,52%,30,50%,42,36%,0,100%
Duane Washington,21.6,IND,Combo,920,43,49.6%,21,41.2%,70,38.8%,18,74.1%,17,74%,28,51%,13,64%,25,92%
PJ Washington,23.2,CHA,Big,1716,58,57.7%,62,60.4%,70,37.0%,44,71.6%,8,87%,20,76%,15,92%,74,97%
Yuta Watanabe,27.1,TOR,Wing,390,17,47.3%,21,46.7%,23,31.8%,4,60.7%,23,86%,30,69%,25,75%,1,100%
Lindy Waters,24.3,OKC,Wing,454,79,56.1%,98,64.0%,54,36.4%,0,80.0%,27,85%,20,75%,42,63%,59,90%
Trendon Watford,21.0,POR,Big,780,42,55.2%,61,59.8%,3,16.7%,55,74.0%,92,59%,80,57%,72,60%,95,80%
Paul Watson,26.8,OKC,Forward,140,2,37.5%,96,66.7%,0,17.4%,0,,66,70%,95,33%,37,67%,0,100%
Russell Westbrook,33.0,LAL,Point,2667,32,47.8%,64,48.7%,15,29.7%,6,66.5%,72,29%,64,28%,76,13%,56,65%
Coby White,21.7,CHI,Combo,1636,76,54.4%,58,49.3%,69,38.7%,71,85.4%,25,66%,38,48%,50,33%,30,90%
Derrick White,27.3,BOS,Combo,709,35,48.5%,65,50.4%,21,30.9%,68,84.9%,26,65%,20,58%,25,47%,35,88%
Derrick White,27.3,SAS,Combo,1485,47,49.9%,72,51.9%,27,31.6%,84,86.9%,59,51%,59,39%,58,33%,47,81%
Hassan Whiteside,32.4,UTA,Big,1125,90,65.4%,87,65.4%,0,,17,62.0%,85,63%,67,63%,64,64%,0,
Joe Wieskamp,22.2,SAS,Wing,141,2,35.5%,6,40.0%,6,23.1%,0,62.5%,17,88%,98,0%,2,100%,1,100%
Aaron Wiggins,22.8,OKC,Wing,1193,46,52.7%,84,57.1%,17,30.9%,19,72.3%,63,68%,57,58%,53,55%,28,98%
Andrew Wiggins,26.7,GSW,Forward,2318,65,54.3%,35,51.2%,85,39.4%,8,63.1%,80,63%,68,57%,78,42%,73,90%
Lindell Wigginton,23.6,MIL,Combo,156,20,44.8%,20,40.7%,38,33.3%,3,57.7%,6,83%,14,63%,1,100%,0,100%
Brandon Williams,21.9,POR,Point,603,12,42.8%,12,40.9%,19,30.2%,11,68.8%,42,44%,22,38%,56,21%,32,76%
Grant Williams,22.9,BOS,Forward,1842,95,59.8%,65,56.2%,93,41.4%,94,89.9%,14,86%,30,70%,17,82%,24,99%
Kenrich Williams,26.9,OKC,Forward,1069,54,53.2%,56,53.8%,53,34.7%,0,54.5%,72,66%,39,66%,70,49%,88,83%
Lou Williams,35.0,ATL,Combo,790,22,45.0%,19,40.5%,54,36.0%,76,85.7%,65,46%,65,35%,46,34%,63,75%
Patrick Williams,20.2,CHI,Big,408,77,61.6%,32,54.5%,100,51.7%,78,78.8%,41,76%,73,60%,34,81%,82,93%
Robert Williams,24.0,BOS,Big,1803,99,73.7%,98,73.7%,0,0.0%,46,72.2%,69,69%,44,68%,45,77%,0,
Ziaire Williams,20.1,MEM,Wing,1299,64,54.6%,95,62.7%,26,32.5%,53,81.3%,16,88%,8,83%,17,80%,34,96%
Dylan Windler,25.1,CLE,Wing,395,31,50.6%,71,54.2%,28,32.7%,0,82.4%,3,94%,13,80%,2,100%,1,100%
Justise Winslow,25.6,POR,Forward,293,12,44.7%,16,46.8%,16,27.0%,0,56.0%,32,78%,26,70%,26,78%,0,100%
Justise Winslow,25.6,LAC,Big,425,14,50.8%,35,55.1%,6,21.7%,17,61.5%,67,69%,58,66%,57,69%,24,100%
Christian Wood,26.1,HOU,Big,2092,56,57.4%,45,56.9%,82,39.0%,18,62.3%,74,68%,60,65%,89,48%,94,85%
Delon Wright,29.5,ATL,Combo,1393,78,54.9%,66,50.7%,82,40.2%,74,85.5%,41,59%,41,46%,24,48%,48,81%
Thaddeus Young,33.4,SAS,Big,355,51,56.6%,51,58.0%,0,0.0%,0,45.5%,93,57%,96,47%,46,75%,0,
Thaddeus Young,33.4,TOR,Forward,466,43,51.8%,26,49.0%,84,39.0%,0,54.2%,84,60%,98,32%,33,72%,0,100%
Trae Young,23.1,ATL,Point,2647,84,54.2%,70,51.2%,81,38.4%,94,90.4%,94,17%,86,14%,74,14%,98,22%
Omer Yurtseven,23.4,MIA,Big,624,27,53.3%,34,54.9%,0,11.1%,14,61.1%,24,79%,22,75%,23,86%,24,100%
Cody Zeller,29.1,POR,Big,335,53,57.0%,59,59.0%,0,0.0%,79,79.1%,59,71%,61,65%,1,100%,0,
Ivica Zubac,24.6,LAC,Big,1843,79,62.5%,76,62.5%,0,,47,72.4%,58,72%,41,70%,44,78%,0,
